port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,addition,round,coefficient,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
15,0x01,8,55,40,,0,unsigned,year,UTC Year,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,39,32,,0,unsigned,month,UTC Month,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,31,24,,0,unsigned,day,UTC Day,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,23,16,,0,unsigned,hour,UTC Hour,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,15,8,,0,unsigned,minute,UTC Minute,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x01,8,7,0,,0,unsigned,second,UTC Second,log_utc,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x02,10,79,72,,0,unsigned,fragment_number,Fragment Number,log_coordinates,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x02,10,71,48,,0,signed,latitude,Latitude,log_coordinates,,,,,,6,0.0000125,,,,,,,,,,,,,,,,,,
15,0x02,10,47,16,,0,signed,longitude,Longitude,log_coordinates,,,,,,7,0.0000001,,,,,,,,,,,,,,,,,,
15,0x02,10,15,0,,0,signed,altitude,Altitude,log_coordinates,,,,,,,0.5,,,,,,,,,,,,,,,,,,
15,0x03,1,7,0,,0,unsigned,fragment_number,Fragment Number,,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,127,112,,1,unsigned,year,UTC Year,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,111,104,,1,unsigned,month,UTC Month,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,103,96,,1,unsigned,day,UTC Day,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,95,88,,1,unsigned,hour,UTC Hour,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,87,80,,1,unsigned,minute,UTC Minute,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,79,72,,1,unsigned,second,UTC Second,log_all,,,,,,,1,,,,,,,,,,,,,,,,,,
15,0x03,16,71,48,,1,signed,latitude,Latitude,log_all,,,,,,6,0.0000125,,,,,,,,,,,,,,,,,,
15,0x03,16,47,16,,1,signed,longitude,Longitude,log_all,,,,,,7,0.0000001,,,,,,,,,,,,,,,,,,
15,0x03,16,15,0,,1,signed,altitude,Altitude,log_all,,,,,,,0.5,,,,,,,,,,,,,,,,,,
9,none,9,71,64,,0,unsigned,battery,Battery,medical,,,,,0.608695652,2,0.391304348,,,,,,,,,,,,,,,,,,
9,none,9,63,56,,0,unsigned,body_temperature,Body Temperature,medical,,,,,30,2,0.05,,,,,,,,,,,,,,,,,,
9,none,9,55,48,,0,unsigned,respiratory_rate,,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,47,47,,0,unsigned,ua_mode_active,,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,46,46,,0,unsigned,rest_mode_status,,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,43,40,,0,unsigned,ce,CE,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,39,32,,0,unsigned,csc,CSC,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,31,31,,0,unsigned,af,AF,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,30,24,,0,unsigned,position,,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
9,none,9,23,16,,0,unsigned,heart_rate,,medical,,,,,,,1,,,,,,,,,,,,,,,,,,
10,0x33,0,0,0,,0,none,room_status_request,,,,,,,,,1,,,,,,,,,,,,,,,,,,
