port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_name,group_description,category_name,category_description,access,round,coefficient,addition,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x4A,1,7,4,1,0,unsigned,time_percentage,Time Percentage (in 10%/Lsb),parameters,Parameters,af_configuration,AF Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x4A,1,0,3,1,0,unsigned,intensity,Intensity (0.1g/Lsb),parameters,Parameters,af_configuration,AF Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x50,1,3,0,1,0,unsigned,r_to_r_window_averaging,R to R Window Averaging,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x51,1,3,0,1,0,unsigned,r_to_r_gain,R to R Gain,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x52,1,1,0,1,0,unsigned,r_to_r_peak_averaging_weight_factor,R to R Peak Averaging Weight Factor,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x53,1,3,0,1,0,unsigned,r_to_r_peak_threshold_scaling_factor,R to R Peak Threshold Scaling Factor ,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x54,1,5,0,1,0,unsigned,r_to_r_minimum_hold_off,R to R Minimum Hold Off ,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x55,1,1,0,1,0,unsigned,r_to_r_interval_averaging_weight_factor,R to R Interval Averaging Weight Factor ,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x56,1,2,0,1,0,unsigned,r_to_r_interval_hold_off_scaling_factor,R to R Interval Hold Off Scaling Factor ,,,heart_rate_configuration,Heart Rate Configuration,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x60,1,7,0,1,0,unsigned,period,Period in seconds,,,strap_tightness_test,Strap Tightness Test,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x61,1,7,0,1,0,unsigned,threshold,Threshold (10mV/Lsb),,,strap_tightness_test,Strap Tightness Test,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x70,2,5,5,1,0,unsigned,app_configuration,Write App Configuration,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x70,2,6,6,1,0,unsigned,lora_configuration,Write LoRa Configuration,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x70,2,8,8,1,0,unsigned,restart_sensor,Restart Sensor,write_to_flash,Configure sensor,command_control_register,Sensor Command & Control Register,W,,1,,De-asserted,0,Asserted,1,,,,,,,,,,,,,,
100,0x71,7,7,0,1,0,unsigned,app_major_version,App Major,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,15,8,1,0,unsigned,app_minor_version,App Minor,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,23,16,1,0,unsigned,app_revision,App Revision,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,31,24,1,0,unsigned,loramac_major_version,LoRaMAC Major,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,39,32,1,0,unsigned,loramac_minor_version,LoRaMAC Minor,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,47,40,1,0,unsigned,loramac_revision,LoRaMAC Revision,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,,,,,,,,,,,,,,,,,,
100,0x71,7,55,48,1,0,unsigned,region,Region,firmware_version,Firmware version,command_control_register,Sensor Command & Control Register,R,,1,,EU868,0,US916,1,AS923,2,AU915,3,IN865,4,CN470,5,KR920,6,RU864,7,DN915,8
100,0x72,1,7,0,1,0,unsigned,configuration_factory_reset,Factory reset,,,command_control_register,Sensor Command & Control Register,W,,1,,App Config,10,LoRa Config,176,App & LoRa Config,186,,,,,,,,,,,,
10,none,9,71,64,,0,unsigned,battery,Battery,,,,,,2,0.391304348,0.608695652,,,,,,,,,,,,,,,,,,
10,none,9,63,56,,0,unsigned,body_temperature,Body Temperature,,,,,,2,0.05,30,,,,,,,,,,,,,,,,,,
10,none,9,55,48,,0,unsigned,respiratory_rate,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,47,47,,0,unsigned,ua_mode_active,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,46,46,,0,unsigned,rest_mode_status,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,43,40,,0,unsigned,ce,CE,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,39,32,,0,unsigned,csc,CSC,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,31,31,,0,unsigned,af,AF,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,30,24,,0,unsigned,position,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10,none,9,23,16,,0,unsigned,heart_rate,,,,,,,,1,,,,,,,,,,,,,,,,,,,
